Il numero totale di giorni è 1092 e il numero di specialità è 1109, giorni spuri 0

Giorno 0, ospedale 1000300, specialità 9, ricoveri 0/11, letti occupati 0/34, coda attesa 0
Giorno 0, ospedale 1000401, specialità 56, ricoveri 2/2, letti occupati 2/13, coda attesa 0
Giorno 0, ospedale 1000401, specialità 37, ricoveri 4/10, letti occupati 4/24, coda attesa 0
Giorno 0, ospedale 1000401, specialità 99, ricoveri 0/8, letti occupati 0/15, coda attesa 0
Giorno 0, ospedale 1000401, specialità 19, ricoveri 0/1, letti occupati 0/22, coda attesa 0
Giorno 0, ospedale 1000401, specialità 36, ricoveri 0/5, letti occupati 0/19, coda attesa 0
Giorno 0, ospedale 1000401, specialità 8, ricoveri 0/0, letti occupati 0/1, coda attesa 0
Giorno 0, ospedale 1000401, specialità 26, ricoveri 12/14, letti occupati 12/136, coda attesa 0
Giorno 0, ospedale 1000401, specialità 31, ricoveri 4/7, letti occupati 4/20, coda attesa 0
Giorno 0, ospedale 1000401, specialità 29, ricoveri 1/3, letti occupati 1/9, coda attesa 0
Giorno 0, ospedale 1000401, specialità 9, ricoveri 0/3, letti occupati 0/19, coda attesa 0
Giorno 0, ospedale 1000401, specialità 49, ricoveri 0/2, letti occupati 0/7, coda attesa 0
Giorno 0, ospedale 1000402, specialità 62, ricoveri 0/1, letti occupati 0/5, coda attesa 0
Giorno 0, ospedale 1000402, specialità 50, ricoveri 2/4, letti occupati 2/12, coda attesa 0
Giorno 0, ospedale 1000402, specialità 36, ricoveri 0/6, letti occupati 0/17, coda attesa 0
Giorno 0, ospedale 1000402, specialità 38, ricoveri 0/5, letti occupati 0/6, coda attesa 0
Giorno 0, ospedale 1000402, specialità 73, ricoveri 0/1, letti occupati 0/6, coda attesa 0
Giorno 0, ospedale 1000402, specialità 40, ricoveri 0/5, letti occupati 0/13, coda attesa 0
Giorno 0, ospedale 1000402, specialità 37, ricoveri 4/12, letti occupati 4/35, coda attesa 0
Giorno 0, ospedale 1000402, specialità 39, ricoveri 0/5, letti occupati 0/12, coda attesa 0
Giorno 0, ospedale 1000402, specialità 49, ricoveri 0/1, letti occupati 0/5, coda attesa 0
Giorno 0, ospedale 1000402, specialità 99, ricoveri 0/12, letti occupati 0/15, coda attesa 0
Giorno 0, ospedale 1000402, specialità 9, ricoveri 3/7, letti occupati 3/28, coda attesa 0
Giorno 0, ospedale 1000402, specialità 31, ricoveri 2/10, letti occupati 2/23, coda attesa 0
Giorno 0, ospedale 1000402, specialità 8, ricoveri 2/5, letti occupati 2/11, coda attesa 0
Giorno 0, ospedale 1000402, specialità 26, ricoveri 9/15, letti occupati 9/121, coda attesa 0
Giorno 0, ospedale 1000403, specialità 39, ricoveri 0/3, letti occupati 0/6, coda attesa 0
Giorno 0, ospedale 1000403, specialità 49, ricoveri 0/0, letti occupati 0/1, coda attesa 0
Giorno 0, ospedale 1000403, specialità 29, ricoveri 0/0, letti occupati 0/1, coda attesa 0
Giorno 0, ospedale 1000403, specialità 9, ricoveri 0/6, letti occupati 0/17, coda attesa 0
Giorno 0, ospedale 1000403, specialità 43, ricoveri 0/3, letti occupati 0/8, coda attesa 0
Giorno 0, ospedale 1000403, specialità 31, ricoveri 0/4, letti occupati 0/14, coda attesa 0
Giorno 0, ospedale 1000403, specialità 8, ricoveri 0/0, letti occupati 0/1, coda attesa 0
Giorno 0, ospedale 1000403, specialità 26, ricoveri 3/6, letti occupati 3/43, coda attesa 0
Giorno 0, ospedale 1000403, specialità 99, ricoveri 0/12, letti occupati 0/13, coda attesa 0
Giorno 0, ospedale 1000403, specialità 40, ricoveri 0/0, letti occupati 0/1, coda attesa 0
Giorno 0, ospedale 1000403, specialità 50, ricoveri 0/1, letti occupati 0/1, coda attesa 0
Giorno 0, ospedale 1000403, specialità 56, ricoveri 1/2, letti occupati 1/23, coda attesa 0
Giorno 0, ospedale 1000403, specialità 60, ricoveri 2/3, letti occupati 2/25, coda attesa 0
Giorno 0, ospedale 1000403, specialità 2, ricoveri 19/19, letti occupati 19/115, coda attesa 0
Giorno 0, ospedale 1000403, specialità 37, ricoveri 0/6, letti occupati 0/19, coda attesa 0
Giorno 0, ospedale 1000404, specialità 99, ricoveri 0/7, letti occupati 0/10, coda attesa 0
Giorno 0, ospedale 1000501, specialità 9, ricoveri 1/4, letti occupati 1/22, coda attesa 0
Giorno 0, ospedale 1000501, specialità 26, ricoveri 9/9, letti occupati 9/106, coda attesa 0
Giorno 0, ospedale 1000501, specialità 50, ricoveri 2/3, letti occupati 2/9, coda attesa 0
Giorno 0, ospedale 1000501, specialità 36, ricoveri 3/8, letti occupati 3/20, coda attesa 0
Giorno 0, ospedale 1000501, specialità 24, ricoveri 0/0, letti occupati 0/1, coda attesa 0
Giorno 0, ospedale 1000501, specialità 49, ricoveri 0/1, letti occupati 0/6, coda attesa 0
Giorno 0, ospedale 1000501, specialità 64, ricoveri 3/7, letti occupati 3/45, coda attesa 0
Giorno 0, ospedale 1000501, specialità 34, ricoveri 0/1, letti occupati 0/3, coda attesa 0
Giorno 0, ospedale 1000501, specialità 56, ricoveri 0/1, letti occupati 0/4, coda attesa 0
Giorno 0, ospedale 1000501, specialità 14, ricoveri 0/3, letti occupati 0/5, coda attesa 0
Giorno 0, ospedale 1000501, specialità 43, ricoveri 3/6, letti occupati 3/16, coda attesa 0
Giorno 0, ospedale 1000501, specialità 8, ricoveri 0/4, letti occupati 0/9, coda attesa 0
Giorno 0, ospedale 1000501, specialità 67, ricoveri 0/1, letti occupati 0/2, coda attesa 0
Giorno 0, ospedale 1000501, specialità 38, ricoveri 5/7, letti occupati 5/9, coda attesa 0
Giorno 0, ospedale 1000501, specialità 32, ricoveri 2/4, letti occupati 2/21, coda attesa 0
Giorno 0, ospedale 1000501, specialità 99, ricoveri 0/12, letti occupati 0/21, coda attesa 0
Giorno 0, ospedale 1000501, specialità 37, ricoveri 3/4, letti occupati 3/13, coda attesa 0
Giorno 0, ospedale 1000501, specialità 29, ricoveri 0/1, letti occupati 0/1, coda attesa 0
Giorno 0, ospedale 1000502, specialità 36, ricoveri 1/4, letti occupati 1/12, coda attesa 0
Giorno 0, ospedale 1000502, specialità 26, ricoveri 9/11, letti occupati 9/140, coda attesa 0
Giorno 0, ospedale 1000502, specialità 29, ricoveri 3/4, letti occupati 3/19, coda attesa 0
Giorno 0, ospedale 1000502, specialità 40, ricoveri 2/4, letti occupati 2/13, coda attesa 0
Giorno 0, ospedale 1000502, specialità 64, ricoveri 20/20, letti occupati 20/143, coda attesa 0
Giorno 0, ospedale 1000502, specialità 62, ricoveri 0/1, letti occupati 0/4, coda attesa 0
Giorno 0, ospedale 1000502, specialità 8, ricoveri 0/3, letti occupati 0/8, coda attesa 0
Giorno 0, ospedale 1000502, specialità 49, ricoveri 0/2, letti occupati 0/7, coda attesa 0
Giorno 0, ospedale 1000502, specialità 38, ricoveri 0/0, letti occupati 0/1, coda attesa 0
Giorno 0, ospedale 1000502, specialità 32, ricoveri 0/1, letti occupati 0/3, coda attesa 0
Giorno 0, ospedale 1000502, specialità 37, ricoveri 3/13, letti occupati 3/24, coda attesa 0
Giorno 0, ospedale 1000502, specialità 99, ricoveri 0/16, letti occupati 0/18, coda attesa 0
Giorno 0, ospedale 1000502, specialità 9, ricoveri 5/13, letti occupati 5/23, coda attesa 0
Giorno 0, ospedale 1000502, specialità 24, ricoveri 2/2, letti occupati 2/12, coda attesa 0
Giorno 0, ospedale 1000502, specialità 50, ricoveri 0/1, letti occupati 0/10, coda attesa 0
Giorno 0, ospedale 1000502, specialità 31, ricoveri 0/0, letti occupati 0/1, coda attesa 0
Giorno 0, ospedale 1000502, specialità 39, ricoveri 1/4, letti occupati 1/12, coda attesa 0
Giorno 0, ospedale 1000502, specialità 43, ricoveri 0/0, letti occupati 0/9, coda attesa 0
Giorno 0, ospedale 1000503, specialità 35, ricoveri 0/0, letti occupati 0/12, coda attesa 0
Giorno 0, ospedale 1000503, specialità 26, ricoveri 0/8, letti occupati 0/108, coda attesa 0
Giorno 0, ospedale 1000503, specialità 9, ricoveri 0/6, letti occupati 0/15, coda attesa 0
Giorno 0, ospedale 1000503, specialità 36, ricoveri 7/23, letti occupati 7/46, coda attesa 0
Giorno 0, ospedale 1000503, specialità 56, ricoveri 0/7, letti occupati 0/32, coda attesa 0
Giorno 0, ospedale 1000503, specialità 34, ricoveri 0/15, letti occupati 0/15, coda attesa 0
Giorno 0, ospedale 1000601, specialità 26, ricoveri 3/7, letti occupati 3/30, coda attesa 0
Giorno 0, ospedale 1000601, specialità 32, ricoveri 2/2, letti occupati 2/7, coda attesa 0
Giorno 0, ospedale 1000601, specialità 67, ricoveri 0/2, letti occupati 0/2, coda attesa 0
Giorno 0, ospedale 1000601, specialità 49, ricoveri 0/2, letti occupati 0/8, coda attesa 0
Giorno 0, ospedale 1000601, specialità 9, ricoveri 5/12, letti occupati 5/39, coda attesa 0
Giorno 0, ospedale 1000601, specialità 2, ricoveri 0/1, letti occupati 0/7, coda attesa 0
Giorno 0, ospedale 1000601, specialità 39, ricoveri 4/4, letti occupati 4/9, coda attesa 0
Giorno 0, ospedale 1000601, specialità 50, ricoveri 2/4, letti occupati 2/17, coda attesa 0
Giorno 0, ospedale 1000601, specialità 8, ricoveri 0/4, letti occupati 0/9, coda attesa 0
Giorno 0, ospedale 1000601, specialità 34, ricoveri 0/0, letti occupati 0/1, coda attesa 0
Giorno 0, ospedale 1000601, specialità 36, ricoveri 2/4, letti occupati 2/18, coda attesa 0
Giorno 0, ospedale 1000601, specialità 62, ricoveri 0/1, letti occupati 0/4, coda attesa 0
Giorno 0, ospedale 1000601, specialità 43, ricoveri 5/8, letti occupati 5/17, coda attesa 0
Giorno 0, ospedale 1000601, specialità 40, ricoveri 2/3, letti occupati 2/59, coda attesa 0
Giorno 0, ospedale 1000601, specialità 73, ricoveri 0/1, letti occupati 0/2, coda attesa 0
Giorno 0, ospedale 1000601, specialità 29, ricoveri 0/5, letti occupati 0/17, coda attesa 0
Giorno 0, ospedale 1000601, specialità 37, ricoveri 7/14, letti occupati 7/27, coda attesa 0
Giorno 0, ospedale 1000601, specialità 64, ricoveri 11/11, letti occupati 11/94, coda attesa 0
Giorno 0, ospedale 1000602, specialità 37, ricoveri 0/1, letti occupati 0/1, coda attesa 0
Giorno 0, ospedale 1000602, specialità 9, ricoveri 0/7, letti occupati 0/18, coda attesa 0
Giorno 0, ospedale 1000602, specialità 34, ricoveri 3/8, letti occupati 3/9, coda attesa 0
Giorno 0, ospedale 1000602, specialità 67, ricoveri 0/1, letti occupati 0/2, coda attesa 0
Giorno 0, ospedale 1000602, specialità 26, ricoveri 2/5, letti occupati 2/24, coda attesa 0
Giorno 0, ospedale 1000602, specialità 56, ricoveri 1/2, letti occupati 1/22, coda attesa 0
Giorno 0, ospedale 1000602, specialità 36, ricoveri 0/7, letti occupati 0/16, coda attesa 0
Giorno 0, ospedale 1000602, specialità 49, ricoveri 0/1, letti occupati 0/2, coda attesa 0
Giorno 0, ospedale 1000602, specialità 43, ricoveri 0/0, letti occupati 0/1, coda attesa 0
Giorno 0, ospedale 1000700, specialità 37, ricoveri 1/12, letti occupati 1/27, coda attesa 0
Giorno 0, ospedale 1000700, specialità 43, ricoveri 4/5, letti occupati 4/14, coda attesa 0
Giorno 0, ospedale 1000700, specialità 50, ricoveri 0/3, letti occupati 0/9, coda attesa 0
Giorno 0, ospedale 1000700, specialità 29, ricoveri 0/2, letti occupati 0/9, coda attesa 0
Giorno 0, ospedale 1000700, specialità 38, ricoveri 0/6, letti occupati 0/11, coda attesa 0
Giorno 0, ospedale 1000700, specialità 8, ricoveri 2/4, letti occupati 2/13, coda attesa 0
Giorno 0, ospedale 1000700, specialità 36, ricoveri 0/4, letti occupati 0/18, coda attesa 0
Giorno 0, ospedale 1000700, specialità 21, ricoveri 1/3, letti occupati 1/13, coda attesa 0
Giorno 0, ospedale 1000700, specialità 32, ricoveri 1/3, letti occupati 1/9, coda attesa 0
Giorno 0, ospedale 1000700, specialità 49, ricoveri 0/2, letti occupati 0/14, coda attesa 0
Giorno 0, ospedale 1000700, specialità 64, ricoveri 0/2, letti occupati 0/8, coda attesa 0
Giorno 0, ospedale 1000700, specialità 26, ricoveri 1/7, letti occupati 1/47, coda attesa 0
Giorno 0, ospedale 1000700, specialità 67, ricoveri 0/1, letti occupati 0/2, coda attesa 0
Giorno 0, ospedale 1000700, specialità 2, ricoveri 10/22, letti occupati 10/56, coda attesa 0
Giorno 0, ospedale 1000700, specialità 40, ricoveri 1/3, letti occupati 1/12, coda attesa 0
Giorno 0, ospedale 1000700, specialità 39, ricoveri 2/5, letti occupati 2/18, coda attesa 0
Giorno 0, ospedale 1000700, specialità 9, ricoveri 1/5, letti occupati 1/21, coda attesa 0
Giorno 0, ospedale 1000700, specialità 31, ricoveri 0/0, letti occupati 0/1, coda attesa 0
Giorno 0, ospedale 1000801, specialità 29, ricoveri 1/2, letti occupati 1/10, coda attesa 0
Giorno 0, ospedale 1000801, specialità 8, ricoveri 2/5, letti occupati 2/12, coda attesa 0
Giorno 0, ospedale 1000801, specialità 39, ricoveri 2/5, letti occupati 2/18, coda attesa 0
Giorno 0, ospedale 1000801, specialità 67, ricoveri 0/2, letti occupati 0/2, coda attesa 0
Giorno 0, ospedale 1000801, specialità 10, ricoveri 0/4, letti occupati 0/10, coda attesa 0
Giorno 0, ospedale 1000801, specialità 60, ricoveri 1/3, letti occupati 1/48, coda attesa 0
Giorno 0, ospedale 1000801, specialità 99, ricoveri 0/16, letti occupati 0/48, coda attesa 0
Giorno 0, ospedale 1000801, specialità 26, ricoveri 9/11, letti occupati 9/97, coda attesa 0
Giorno 0, ospedale 1000801, specialità 50, ricoveri 3/4, letti occupati 3/19, coda attesa 0
Giorno 0, ospedale 1000801, specialità 32, ricoveri 2/5, letti occupati 2/31, coda attesa 0
Giorno 0, ospedale 1000801, specialità 14, ricoveri 0/5, letti occupati 0/15, coda attesa 0
Giorno 0, ospedale 1000801, specialità 52, ricoveri 0/3, letti occupati 0/4, coda attesa 0
Giorno 0, ospedale 1000801, specialità 21, ricoveri 0/2, letti occupati 0/17, coda attesa 0
Giorno 0, ospedale 1000801, specialità 49, ricoveri 0/3, letti occupati 0/11, coda attesa 0
Giorno 0, ospedale 1000801, specialità 56, ricoveri 1/2, letti occupati 1/19, coda attesa 0
Giorno 0, ospedale 1000801, specialità 62, ricoveri 0/1, letti occupati 0/4, coda attesa 0
Giorno 0, ospedale 1000801, specialità 9, ricoveri 3/6, letti occupati 3/35, coda attesa 0
Giorno 0, ospedale 1000801, specialità 43, ricoveri 2/7, letti occupati 2/28, coda attesa 0
Giorno 0, ospedale 1000801, specialità 97, ricoveri 0/1, letti occupati 0/2, coda attesa 0
Giorno 0, ospedale 1000801, specialità 38, ricoveri 1/3, letti occupati 1/20, coda attesa 0
Giorno 0, ospedale 1000801, specialità 2, ricoveri 4/7, letti occupati 4/87, coda attesa 0
Giorno 0, ospedale 1000801, specialità 36, ricoveri 0/7, letti occupati 0/36, coda attesa 0
Giorno 0, ospedale 1000801, specialità 24, ricoveri 1/4, letti occupati 1/25, coda attesa 0
Giorno 0, ospedale 1000801, specialità 34, ricoveri 1/2, letti occupati 1/11, coda attesa 0
Giorno 0, ospedale 1000801, specialità 40, ricoveri 10/10, letti occupati 10/251, coda attesa 4
Giorno 0, ospedale 1000801, specialità 37, ricoveri 9/22, letti occupati 9/59, coda attesa 0
Giorno 0, ospedale 1000801, specialità 64, ricoveri 17/17, letti occupati 17/259, coda attesa 1
Giorno 0, ospedale 1000901, specialità 62, ricoveri 0/2, letti occupati 0/4, coda attesa 0
Giorno 0, ospedale 1000901, specialità 9, ricoveri 2/5, letti occupati 2/21, coda attesa 0
Giorno 0, ospedale 1000901, specialità 99, ricoveri 0/11, letti occupati 0/28, coda attesa 0
Giorno 0, ospedale 1000901, specialità 39, ricoveri 0/6, letti occupati 0/12, coda attesa 0
Giorno 0, ospedale 1000901, specialità 56, ricoveri 0/1, letti occupati 0/10, coda attesa 0
Giorno 0, ospedale 1000901, specialità 38, ricoveri 0/2, letti occupati 0/9, coda attesa 0
Giorno 0, ospedale 1000901, specialità 2, ricoveri 3/3, letti occupati 3/12, coda attesa 0
Giorno 0, ospedale 1000901, specialità 68, ricoveri 3/6, letti occupati 3/24, coda attesa 0
Giorno 0, ospedale 1000901, specialità 67, ricoveri 0/1, letti occupati 0/1, coda attesa 0
Giorno 0, ospedale 1000901, specialità 64, ricoveri 11/11, letti occupati 11/160, coda attesa 0
Giorno 0, ospedale 1000901, specialità 26, ricoveri 2/5, letti occupati 2/27, coda attesa 0
Giorno 0, ospedale 1000901, specialità 34, ricoveri 1/1, letti occupati 1/2, coda attesa 0
Giorno 0, ospedale 1000901, specialità 52, ricoveri 0/3, letti occupati 0/3, coda attesa 0
Giorno 0, ospedale 1000901, specialità 71, ricoveri 0/3, letti occupati 0/8, coda attesa 0
Giorno 0, ospedale 1000901, specialità 32, ricoveri 0/5, letti occupati 0/20, coda attesa 0
Giorno 0, ospedale 1000901, specialità 37, ricoveri 9/9, letti occupati 9/22, coda attesa 0
Giorno 0, ospedale 1000901, specialità 8, ricoveri 2/5, letti occupati 2/13, coda attesa 0
Giorno 0, ospedale 1000901, specialità 24, ricoveri 2/4, letti occupati 2/11, coda attesa 0
Giorno 0, ospedale 1000901, specialità 31, ricoveri 3/4, letti occupati 3/11, coda attesa 0
Giorno 0, ospedale 1000901, specialità 60, ricoveri 2/2, letti occupati 2/24, coda attesa 0
Giorno 0, ospedale 1000901, specialità 40, ricoveri 1/3, letti occupati 1/13, coda attesa 0
Giorno 0, ospedale 1000901, specialità 36, ricoveri 4/8, letti occupati 4/19, coda attesa 0
Giorno 0, ospedale 1000901, specialità 49, ricoveri 0/2, letti occupati 0/9, coda attesa 0
Giorno 0, ospedale 1000901, specialità 50, ricoveri 1/4, letti occupati 1/13, coda attesa 0
Giorno 0, ospedale 1000901, specialità 29, ricoveri 1/3, letti occupati 1/10, coda attesa 0
Giorno 0, ospedale 1000901, specialità 43, ricoveri 2/4, letti occupati 2/13, coda attesa 0
Giorno 0, ospedale 1000902, specialità 26, ricoveri 3/6, letti occupati 3/57, coda attesa 0
Giorno 0, ospedale 1000902, specialità 4, ricoveri 1/9, letti occupati 1/12, coda attesa 0
Giorno 0, ospedale 1000902, specialità 99, ricoveri 0/12, letti occupati 0/20, coda attesa 0
Giorno 0, ospedale 1000902, specialità 8, ricoveri 0/3, letti occupati 0/11, coda attesa 0
Giorno 0, ospedale 1000902, specialità 37, ricoveri 2/6, letti occupati 2/14, coda attesa 0
Giorno 0, ospedale 1000902, specialità 64, ricoveri 0/0, letti occupati 0/1, coda attesa 0
Giorno 0, ospedale 1000902, specialità 50, ricoveri 0/4, letti occupati 0/11, coda attesa 0
Giorno 0, ospedale 1000902, specialità 31, ricoveri 0/5, letti occupati 0/13, coda attesa 0
Giorno 0, ospedale 1000902, specialità 49, ricoveri 0/1, letti occupati 0/1, coda attesa 0
Giorno 0, ospedale 1000902, specialità 39, ricoveri 0/2, letti occupati 0/4, coda attesa 0
Giorno 0, ospedale 1000902, specialità 36, ricoveri 0/2, letti occupati 0/14, coda attesa 0
Giorno 0, ospedale 1000902, specialità 43, ricoveri 1/3, letti occupati 1/9, coda attesa 0
Giorno 0, ospedale 1000902, specialità 38, ricoveri 0/1, letti occupati 0/5, coda attesa 0
Giorno 0, ospedale 1000902, specialità 9, ricoveri 3/3, letti occupati 3/14, coda attesa 0
Giorno 0, ospedale 1001000, specialità 34, ricoveri 16/62, letti occupati 16/78, coda attesa 0
Giorno 0, ospedale 1001000, specialità 2, ricoveri 0/2, letti occupati 0/8, coda attesa 0
Giorno 0, ospedale 1001100, specialità 29, ricoveri 0/5, letti occupati 0/18, coda attesa 0
Giorno 0, ospedale 1001100, specialità 40, ricoveri 1/3, letti occupati 1/17, coda attesa 0
Giorno 0, ospedale 1001100, specialità 20, ricoveri 7/13, letti occupati 7/77, coda attesa 0
Giorno 0, ospedale 1001100, specialità 50, ricoveri 1/4, letti occupati 1/18, coda attesa 0
Giorno 0, ospedale 1001100, specialità 49, ricoveri 0/2, letti occupati 0/9, coda attesa 0
Giorno 0, ospedale 1001100, specialità 14, ricoveri 0/4, letti occupati 0/13, coda attesa 0
Giorno 0, ospedale 1001100, specialità 36, ricoveri 2/6, letti occupati 2/29, coda attesa 0
Giorno 0, ospedale 1001100, specialità 2, ricoveri 5/9, letti occupati 5/55, coda attesa 0
Giorno 0, ospedale 1001100, specialità 38, ricoveri 3/5, letti occupati 3/10, coda attesa 0
Giorno 0, ospedale 1001100, specialità 30, ricoveri 2/4, letti occupati 2/18, coda attesa 0
Giorno 0, ospedale 1001100, specialità 99, ricoveri 0/17, letti occupati 0/119, coda attesa 0
Giorno 0, ospedale 1001100, specialità 32, ricoveri 0/3, letti occupati 0/13, coda attesa 0
Giorno 0, ospedale 1001100, specialità 26, ricoveri 15/20, letti occupati 15/161, coda attesa 0
Giorno 0, ospedale 1001100, specialità 9, ricoveri 3/7, letti occupati 3/35, coda attesa 0
Giorno 0, ospedale 1001100, specialità 67, ricoveri 0/1, letti occupati 0/3, coda attesa 0
Giorno 0, ospedale 1001100, specialità 64, ricoveri 15/15, letti occupati 15/112, coda attesa 0
Giorno 0, ospedale 1001100, specialità 8, ricoveri 3/4, letti occupati 3/17, coda attesa 0
Giorno 0, ospedale 1001100, specialità 21, ricoveri 0/2, letti occupati 0/12, coda attesa 0
Giorno 0, ospedale 1001100, specialità 43, ricoveri 3/5, letti occupati 3/23, coda attesa 0
Giorno 0, ospedale 1001200, specialità 34, ricoveri 0/6, letti occupati 0/10, coda attesa 0
Giorno 0, ospedale 1001200, specialità 56, ricoveri 0/8, letti occupati 0/10, coda attesa 0
Giorno 0, ospedale 1001200, specialità 9, ricoveri 5/7, letti occupati 5/11, coda attesa 0
Giorno 0, ospedale 1001200, specialità 19, ricoveri 0/3, letti occupati 0/13, coda attesa 0
Giorno 0, ospedale 1001200, specialità 37, ricoveri 0/18, letti occupati 0/22, coda attesa 0
Giorno 0, ospedale 1001200, specialità 36, ricoveri 9/10, letti occupati 9/16, coda attesa 0
Giorno 0, ospedale 1001200, specialità 67, ricoveri 0/1, letti occupati 0/1, coda attesa 0
Giorno 0, ospedale 1001200, specialità 26, ricoveri 0/1, letti occupati 0/5, coda attesa 0
Giorno 0, ospedale 1001200, specialità 64, ricoveri 23/23, letti occupati 23/196, coda attesa 0
Giorno 0, ospedale 1001200, specialità 32, ricoveri 0/5, letti occupati 0/6, coda attesa 0
Giorno 0, ospedale 1001200, specialità 12, ricoveri 0/7, letti occupati 0/13, coda attesa 0
Giorno 0, ospedale 1001300, specialità 24, ricoveri 24/24, letti occupati 24/119, coda attesa 0
Giorno 0, ospedale 1001700, specialità 64, ricoveri 8/8, letti occupati 8/235, coda attesa 0
Giorno 0, ospedale 1001700, specialità 39, ricoveri 2/5, letti occupati 2/19, coda attesa 0
Giorno 0, ospedale 1001700, specialità 31, ricoveri 0/0, letti occupati 0/1, coda attesa 0
Giorno 0, ospedale 1001700, specialità 26, ricoveri 6/13, letti occupati 6/93, coda attesa 0
Giorno 0, ospedale 1001700, specialità 62, ricoveri 0/1, letti occupati 0/4, coda attesa 0
Giorno 0, ospedale 1001700, specialità 40, ricoveri 0/2, letti occupati 0/9, coda attesa 0
Giorno 0, ospedale 1001700, specialità 29, ricoveri 1/2, letti occupati 1/6, coda attesa 0
Giorno 0, ospedale 1001700, specialità 37, ricoveri 7/10, letti occupati 7/28, coda attesa 0
Giorno 0, ospedale 1001700, specialità 32, ricoveri 1/5, letti occupati 1/27, coda attesa 0
Giorno 0, ospedale 1001700, specialità 50, ricoveri 0/3, letti occupati 0/9, coda attesa 0
Giorno 0, ospedale 1001700, specialità 8, ricoveri 0/5, letti occupati 0/10, coda attesa 0
Giorno 0, ospedale 1001700, specialità 36, ricoveri 2/5, letti occupati 2/17, coda attesa 0
Giorno 0, ospedale 1001700, specialità 43, ricoveri 0/3, letti occupati 0/8, coda attesa 0
Giorno 0, ospedale 1001700, specialità 49, ricoveri 0/2, letti occupati 0/8, coda attesa 0
Giorno 0, ospedale 1001700, specialità 99, ricoveri 0/7, letti occupati 0/7, coda attesa 0
Giorno 0, ospedale 1001700, specialità 9, ricoveri 1/9, letti occupati 1/22, coda attesa 0
Giorno 0, ospedale 1001700, specialità 38, ricoveri 2/8, letti occupati 2/13, coda attesa 0
Giorno 0, ospedale 1001901, specialità 9, ricoveri 3/6, letti occupati 3/20, coda attesa 0
Giorno 0, ospedale 1001901, specialità 34, ricoveri 0/2, letti occupati 0/5, coda attesa 0
Giorno 0, ospedale 1001901, specialità 38, ricoveri 1/3, letti occupati 1/6, coda attesa 0
Giorno 0, ospedale 1001901, specialità 8, ricoveri 0/4, letti occupati 0/12, coda attesa 0
Giorno 0, ospedale 1001901, specialità 26, ricoveri 1/8, letti occupati 1/59, coda attesa 0
